	sales_name	gstin	26as_name	tan
1880	nipha india private limited	19AABCN8269J1ZV	nipha india private limited	CALN04299B
1881	nippon audiotronix private limited	06AAACN2163L1ZI	nippon audiotronix private limited	DELN05610D
1882	nippon carbide india private limited	29AADCN7807Q1ZO	nippon carbide india private limited	DELN11658D
1883	nipra hydrocolloids	27AAOFN6552E1Z0	nipra hydrocolloids	MUMN26653E
1884	niravan industries	27AAAFN2954J1Z5	niravan industries	MUMN08171C
1885	nirmal fibres private limited	09AABCN0376N1Z4	nirmal fibers private limited	DELN04173B
1886	nishant aromas private limited	05AAGCN5563Q1ZU	nishant aromas private limited	MUMN27225C
1887	nitta gelatin india limited	32AABCK1582H1ZT	nitta gelatin india limited	CHNK00559G
1888	n k enterprises	18DKUPK2264K1ZH	n k enterprise	CALN06327G
1889	noble refractories	24AABFN6557C1ZI	noble refractories	RKTN00141B
1890	noel global logistics llp	27AAPFN3697P1Z4	noel global logistics llp	PNEN13558G
1891	nokia solutions and networks india private limited	32AACCN3871F1ZP	nokia solutions and networks india private limited	DELN08029A
1892	north east pharma pack	11AANFN1305Q1Z8	north east pharma pack	DELN17348C
1893	north point packagings pvt ltd	06AAACN3046N2ZD	north point packaging pvt ltd	DELN06247D
1894	nortis lifesciences llp	06AAOFN2754L1ZT	nortis lifesciences llp	DELN17369C
1895	nova sales	06AALFN7145C1ZC	nova sales	RTKN03871A
1896	novazion pharmaceuticals	33AAPFN9154K1ZP	novazion pharmaceuticals	CHEN11385D
1897	npp printing n packaging	02AAGFN1508A3Z4	npp printing n packaging	MUMN14676E
1898	ntn bearing india private limited	33AADCN8561B1ZP	ntn bearing india private limited	CHEN07720G
1899	nuevotech industries private limited	19AABCM8638E1ZA	nuevotech industries private limited	CALM06096G
1900	nuevotech industries privet limited	19AABCM8638E1ZA	nuevotech industries private limited	CALM06096G
1901	nugreen building technologies private limited	07AADCN5970G1ZB	nugreen building technologies private limited	DELN12116G
1902	nugreen building technologies privat limited	07AADCN5970G1ZB	nugreen building technologies private limited	DELN12116G
1903	nundy brothers cycles	19AAEFN6321R1ZP	nundy brothers cycles	CALN04211E
1904	nuton marketing	18AASFN5812F1Z0	nuton marketing	SHLN03358F
1905	nutrimed heathcare private limited	06AADCN7979H1ZY	nutrimed healthcare private limited	DELN12777C
1906	nvk autotech india	06AALFN4405F1ZH	nvk autotech india	RTKN03853D
1907	nyloplast precision industries private limited	27AAGCN9198R1Z7	nyloplast precision industries private limited	PNEN15688B
1908	odin healthcare private limited	02AAACO7774J2Z9	odin health care private limited	PTLO10433D
1909	odyssey logistics private limited	07AAACO6715D1ZQ	odyssey logistics private limited	MUMO03160D
1910	o e n india ltd	27AAACO2007Q1ZC	o e n india ltd	CHNO00054F
1911	o e n india ltd	32AAACO2007Q1ZL	o e n india ltd	CHNO00054F
1912	ofb tech private limited	06AACCO1867C1ZP	ofb tech private limited	RTKO01790F
1913	oiles india private limited	08AABCO4506D1ZU	oiles india private limited	RTKO01330A
1914	okay paper products pvt ltd	27AAACO0469J1ZC	okay paper products pvt ltd	MUMO02906B
1915	ok play auto pvt ltd	33AABCO2668N1Z5	ok play auto pvt ltd	DELO03958D
1916	ok play india limted	06AAACO2623G1ZV	ok play india limited	RTKO00549D
1917	ola fleet technologies private limited	07AAKCA2311H1Z2	ola fleet technologies private limited	DELA30044A
1918	ola fleet technologies private limited	27AAKCA2311H1Z0	ola fleet technologies private limited	DELA30044A
1919	ola fleet technologies private limited	29AAKCA2311H1ZW	ola fleet technologies private limited	DELA30044A
1920	ola fleet technologies private limited	33AAKCA2311H1Z7	ola fleet technologies private limited	DELA30044A
1921	ola fleet technologies private limited	36AAKCA2311H1Z1	ola fleet technologies private limited	DELA30044A
1922	olectra greentech limited	36AABCG3455B1Z1	olectra greentech limited	HYDG00750B
1923	om circuit boards private limited	09AAXCS6456J1ZC	om circuit boards private limited	DELS75370B
1924	omco enterprises pvt ltd	06AAACO4746J1ZC	omco enterprises pvt ltd	RTKO00516F
1925	omco enterprises pvt ltd	06ABCPG7994E1ZK	omco enterprises pvt ltd	RTKO00516F
1926	om cycle zone	36AADFO5363R1ZL	om cycle zone	HYDO03934A
1927	omega pharma	05AAIFG4847R2ZP	omega pharma	MRTO00881G
1928	omega seiki private limited	06AACCO6582C1ZJ	omega seiki private limited	DELO06457D
1929	omfa rubbers limited	09AAACO0144Q1Z8	omfa rubbers limited	MRTO00081E
1930	omjay ev limited	21AACCO7477Q1ZU	omjay ev limited	BBNO02303A
1931	omni auto limited	37AAACO2647Q1ZX	omni auto limited	PTNO00209G
1932	om pharmaceuticals ltd	29AAACO0976E1ZF	om pharmaceuticals ltd	MUMO02917F
1933	om sai industries	02AADFO2686H1ZD	om sai industries	PTLO10756E
1934	om sai industries	27APKPG7291L1ZA	om sai industries	PTLO10756E
1935	om sai industries	27CFEPP7916P1ZM	om sai industries	PTLO10756E
1936	om sai pharma pack	05AABFO5340E1ZQ	om sai pharma pack	MRTO00529E
1937	om trans logistics limited	19AABCO0852A1ZW	om trans logistics limited	DELO03367A
1938	om trans logistics limited	27AABCO0852A1ZZ	om trans logistics limited	DELO03367A
1939	onkar dies pvt ltd	27AAACO6738L1Z0	onkar dies pvt ltd	PNEO00985F
1940	onkar dies pvtltd	27AAACO6738L1Z0	onkar dies pvt ltd	PNEO00985F
1941	ons spare parts	06AAHFO3493L1ZT	ons spare parts	RTKO02953G
1942	optiderma skincare llp	24AAEFO9669D1Z1	optiderma skincare llp	AHMO01529D
1943	optiks mechatronics private limited	09AACCO6109K1Z9	optiks mechatronics private limited	MRTO01239A
1944	optiluxx electricals llp	19AADFO9348J1ZO	optiluxx electricals llp	CALO04125C
1945	optimus pharma private limited	02AAACO7014R1ZD	optimus pharma private limited	HYDO00533B
1946	optimus pharma private limited	36AAACO7014R1Z2	optimus pharma private limited	HYDO00533B
1947	orchid pharma limited	33AAACO0402B1ZJ	orchid pharma limited	CHEO00121C
1948	orgyn laboratories pvt ltd	09AAACO6040P1Z3	orgyn laboratories pvt ltd	DELO02305C
1949	oriental engineering works pvt ltd	06AAACO8737D1ZI	oriental engineering works pvt ltd	PTLO10225F
1950	oriental veneer products ltd	27AAACO0490M1Z9	oriental veneer products ltd	MUMO03554F
1951	orient electric limited	09AACCO3929R1ZP	orient electric limited	DELO06367E
1952	orient electric limited	27AACCO3929R1ZR	orient electric limited	DELO06367E
1953	orient electric limted	06AACCO3929R1ZV	orient electric limited	DELO06367E
1954	orient industries	19AAAFO5188R1ZD	orient industries	CALO00639C
